食 品 群,食 品 番 号,索 引 番 号,可  食  部   100  g  当  た  り,,,,,可  食  部   100  g  当  た  り,,備  考
06,06040,0509,かぶ 漬物 塩漬 葉,(0),3.6,290,240,44,2.3,"別名： かぶら、すずな
廃棄部位： 葉柄基部
水洗いし、手搾りしたもの"
06,06041,0510,かぶ 漬物 塩漬 根 皮つき,(0),1.9,310,48,19,2.8,"別名： かぶら、すずな
水洗いし、手搾りしたもの"
06,06042,0511,かぶ 漬物 塩漬 根 皮なし,(0),2.0,400,33,21,4.3,"別名： かぶら、すずな
水洗いし、手搾りしたもの
硝酸イオン： 0.2 g"
06,06043,0512,かぶ 漬物 ぬかみそ漬 葉,(0),4.0,540,280,49,3.8,"別名： かぶら、すずな
廃棄部位： 葉柄基部
水洗いし、手搾りしたもの"
06,06044,0513,かぶ 漬物 ぬかみそ漬 根 皮つき,(0),2.0,500,57,28,2.2,"別名： かぶら、すずな
水洗いし、水切りしたもの"
06,06045,0514,かぶ 漬物 ぬかみそ漬 根 皮なし,(0),1.8,740,26,20,6.9,"別名： かぶら、すずな
水洗いし、水切りしたもの
硝酸イオン： 0.2 g"
06,06046,0515,（かぼちゃ類） 日本かぼちゃ 果実 生,0,2.8,420,20,16,0,"別名： とうなす、ぼうぶら、なんきん
廃棄部位： わた、種子及び両端
硝酸イオン： Tr"
06,06047,0516,（かぼちゃ類） 日本かぼちゃ 果実 ゆで,0,3.0,350,18,16,0,"別名： とうなす、ぼうぶら、なんきん
わた､種子及び両端を除いたもの
硝酸イオン： (Tr)
食物繊維：AOAC2011.25法"
06,06048,0517,（かぼちゃ類） 西洋かぼちゃ 果実 生,0,3.5,430,22,43,0,"別名： くりかぼちゃ
廃棄部位： わた、種子及び両端
硝酸イオン： Tr"
06,06049,0518,（かぼちゃ類） 西洋かぼちゃ 果実 ゆで,(0),4.1,340,22,32,0,"別名： くりかぼちゃ
わた、種子及び両端を除いたもの 
硝酸イオン： 0 g"
06,06332,0519,（かぼちゃ類） 西洋かぼちゃ 果実 焼き,(0),5.3,570,19,44,0,"別名： くりかぼちゃ
わた、種子及び両端を除いたもの
硝酸イオン： 0 g"
06,06050,0520,（かぼちゃ類） 西洋かぼちゃ 果実 冷凍,(0),4.2,430,25,34,0,"別名： くりかぼちゃ
硝酸イオン： Tr"
06,06051,0521,（かぼちゃ類） そうめんかぼちゃ 果実 生,(0),1.5,260,27,11,0,"別名： ぺぽかぼちゃ、きんしうり、そうめんうり、いとかぼちゃ
廃棄部位： わた、種子、皮及び両端
硝酸イオン： 0.1 g"
06,06052,0522,からしな 葉 生,(0),3.7,620,140,64,0.2,"別名： 葉がらし、菜がらし
株元を除いたもの
硝酸イオン： 0.3 g"
06,06053,0523,からしな 塩漬,(0),5.0,530,150,80,2.5,"別名： 葉がらし、菜がらし
株元を除いたもの
水洗いし、手搾りしたもの
硝酸イオン： 0.4 g"
06,06054,0524,カリフラワー 花序 生,0,2.9,410,24,81,0,"別名： はなやさい
廃棄部位： 茎葉
硝酸イオン： Tr"
06,06055,0525,カリフラワー 花序 ゆで,(0),3.2,220,23,53,0,"別名： はなやさい
茎葉を除いたもの
硝酸イオン： (Tr)"
06,06056,0526,かんぴょう 乾,(0),30.1,1800,250,0,0,硝酸イオン： 0.5 g
06,06057,0527,かんぴょう ゆで,(0),5.3,100,34,0,0,硝酸イオン： 0.1 g
06,06364,0528,かんぴょう 甘煮,(0),5.5,90,44,0,3.1,硝酸イオン： 0 g
06,06058,0529,きく 花びら 生,(0),3.4,280,22,11,0,"別名： 食用ぎく、料理ぎく
廃棄部位： 花床
硝酸イオン： Tr"
06,06059,0530,きく 花びら ゆで,(0),2.9,140,16,5,0,"別名： 食用ぎく、料理ぎく
花床を除いたもの
ゆでた後水冷し、手搾りしたもの
硝酸イオン： Tr"
06,06060,0531,きく 菊のり,(0),29.6,2500,160,10,0,"別名： 乾燥食用ぎく
硝酸イオン： Tr"
06,06061,0532,（キャベツ類） キャベツ 結球葉 生,(0),1.8,190,42,38,0,"別名： かんらん、たまな
廃棄部位： しん
硝酸イオン： 0.1 g
食物繊維：AOAC2011.25法"
06,06062,0533,（キャベツ類） キャベツ 結球葉 ゆで,(0),2.0,92,40,17,0,"別名： かんらん、たまな
しんを除いたもの
硝酸イオン： 0.1 g"
06,06333,0534,（キャベツ類） キャベツ 結球葉 油いため,(Tr),2.2,250,53,47,0,"別名： かんらん、たまな
しんを除いたもの
植物油（なたね油）
調理による脂質の増減：第1章表14参照
硝酸イオン： 0.1 g "
06,06403,0534-1,（キャベツ類） キャベツ 結球葉 カット 常法洗浄,-,1.9,150,35,29,0,"別名： かんらん、たまな
硝酸イオン： Tr
食物繊維：AOAC2011.25法"
06,06404,0534-2,（キャベツ類） キャベツ 結球葉 カット 次亜塩素酸洗浄,-,2.0,140,38,28,0,"別名： かんらん、たまな
硝酸イオン： Tr
食物繊維：AOAC2011.25法"
06,06063,0535,（キャベツ類） グリーンボール 結球葉 生,(0),1.6,270,58,47,0,"廃棄部位： しん
硝酸イオン： 0.1 g"
06,06064,0536,（キャベツ類） レッドキャベツ 結球葉 生,(0),2.8,310,40,68,0,"別名： 赤キャベツ、紫キャベツ
廃棄部位： しん
硝酸イオン： Tr"
06,06065,0537,きゅうり 果実 生,0,1.1,200,26,14,0,"廃棄部位： 両端
硝酸イオン： Tr"
06,06066,0538,きゅうり 漬物 塩漬,(0),1.3,220,26,11,2.5,"廃棄部位： 両端
水洗いし、水切りしたもの
硝酸イオン： Tr"
06,06067,0539,きゅうり 漬物 しょうゆ漬,(0),3.4,79,39,8,4.1,硝酸イオン： Tr
06,06068,0540,きゅうり 漬物 ぬかみそ漬,(0),1.5,610,22,22,5.3,"廃棄部位： 両端
水洗いし、水切りしたもの
硝酸イオン： Tr"
06,06069,0541,きゅうり 漬物 ピクルス スイート型,(0),1.7,18,25,0,1.1,"酢漬けしたもの
硝酸イオン： (Tr)"
06,06070,0542,きゅうり 漬物 ピクルス サワー型,(0),1.4,11,23,0,2.5,"乳酸発酵したもの
硝酸イオン： (Tr)"
06,06071,0543,ぎょうじゃにんにく 葉 生,(0),3.3,340,29,59,0,"別名： アイヌねぎ、ヒトビロ、やまびる
廃棄部位： 底盤部及び萌芽葉
硝酸イオン： Tr"
06,06075,0544,キンサイ 茎葉 生,(0),2.5,360,140,15,0.1,"別名： 中国セロリ、スープセロリ、リーフセロリ
廃棄部位： 株元
硝酸イオン： 0.3 g"
06,06076,0545,キンサイ 茎葉 ゆで,(0),2.9,320,140,7,0.1,"別名： 中国セロリ、スープセロリ、リーフセロリ
株元を除いたもの
硝酸イオン： 0.4 g"
06,06077,0546,クレソン 茎葉 生,(0),2.5,330,110,26,0.1,"別名： オランダがらし、オランダみずがらし
廃棄部位： 株元
硝酸イオン： 0.1 g"
06,06078,0547,くわい 塊茎 生,(0),2.4,600,5,2,0,廃棄部位： 皮及び芽
06,06079,0548,くわい 塊茎 ゆで,(0),2.8,550,5,0,0,皮及び芽を除いたもの
06,06080,0549,ケール 葉 生,(0),3.7,420,220,81,0,"別名： 葉キャベツ、はごろもかんらん
廃棄部位： 葉柄基部
硝酸イオン： 0.2 g"
06,06081,0550,コールラビ 球茎 生,(0),1.9,240,29,45,0,"別名： 球茎かんらん、かぶかんらん
廃棄部位： 根元及び葉柄基部
硝酸イオン： 0.1 g"
06,06082,0551,コールラビ 球茎 ゆで,(0),2.3,210,27,37,0,"別名： 球茎かんらん、かぶかんらん
根元及び葉柄基部を除いたもの
硝酸イオン： 0.1 g"
06,06083,0552,こごみ 若芽 生,(0),5.2,350,26,27,0,"別名： くさそてつ、こごめ
硝酸イオン： Tr"
06,06084,0553,（ごぼう類） ごぼう 根 生,(0),5.7,320,46,3,0,"廃棄部位： 皮、葉柄基部及び先端
硝酸イオン： 0.1 g"
06,06085,0554,（ごぼう類） ごぼう 根 ゆで,(0),6.1,210,48,1,0,"皮、葉柄基部及び先端を除いたもの
硝酸イオン： 0.1 g"
06,06405,0554-1,（ごぼう類） 堀川ごぼう 根 生,-,18.3,540,70,4,0,"廃棄部位： 葉，葉柄基部，ひげ根(細い根)
硝酸イオン： 0.4g
食物繊維：AOAC2011.25法"
06,06086,0555,こまつな 葉 生,(0),1.9,500,170,39,0,"廃棄部位： 株元
硝酸イオン： 0.5 g"
06,06087,0556,こまつな 葉 ゆで,(0),2.4,140,150,21,0,"廃棄部位： 株元
ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0.3 g"
06,06385,0557,コリアンダー 葉 生,-,4.2,590,84,40,0,"別名： 香菜（シャンツァイ）、パクチー
廃棄部位： 根、食物繊維：AOAC2011.25法
硝酸イオン：0.3ｇ"
06,06088,0558,ザーサイ 漬物,(0),4.6,680,140,0,13.7,"別名： ダイシンサイ
硝酸イオン： 0.2 g"
06,06089,0559,さんとうさい 葉 生,(0),2.2,360,140,35,0,"別名： さんとうな、べが菜
廃棄部位： 根及び株元
硝酸イオン： 0.3 g"
06,06090,0560,さんとうさい 葉 ゆで,(0),2.5,240,130,22,0,"別名： さんとうな、べが菜
根を除いたもの
ゆでた後水冷し、手搾りしたもの
廃棄部位： 株元
硝酸イオン： 0.2 g"
06,06091,0561,さんとうさい 塩漬,(0),3.0,420,190,44,2.3,"別名： さんとうな
廃棄部位： 株元
水洗いし、手搾りしたもの
硝酸イオン： 0.3 g"
06,06092,0562,しかくまめ 若ざや 生,(0),3.2,270,80,16,0,"廃棄部位： さやの両端
硝酸イオン： 0.1 g"
06,06093,0563,（ししとう類） ししとう 果実 生,(0),3.6,340,11,57,0,"別名： ししとうがらし
廃棄部位： へた
硝酸イオン：0g "
06,06094,0564,（ししとう類） ししとう 果実 油いため,(0),3.6,380,15,49,0,"別名： ししとうがらし
へたを除いたもの
植物油（調合油）
硝酸イオン： 0 g"
06,06406,0564-1,（ししとう類） 万願寺とうがらし 果実 生,-,3.2,220,11,83,0,"廃棄部位： へた
硝酸イオン： 0g
食物繊維：AOAC2011.25法"
06,06095,0565,しそ 葉 生,(0),7.3,500,230,26,0,"別名 ： 大葉
試料： 青じそ
廃棄率： 小枝つきの場合40 %
硝酸イオン： 0.1 g"
06,06096,0566,しそ 実 生,(0),8.9,300,100,5,0,"試料： 青じそ
廃棄率： 穂じその場合 35 %
硝酸イオン： Tr"
06,06097,0567,じゅうろくささげ 若ざや 生,(0),4.2,200,31,25,0,"別名： 長ささげ、三尺ささげ
廃棄部位： へた 
硝酸イオン： Tr"
06,06098,0568,じゅうろくささげ 若ざや ゆで,(0),4.5,180,33,16,0,"別名： 長ささげ、三尺ささげ
へたを除いたもの
硝酸イオン： Tr"
06,06099,0569,しゅんぎく 葉 生,(0),3.2,460,120,19,0.2,"別名： きくな
廃棄部位： 基部 
廃棄率： 根つきの場合 15 %
硝酸イオン： 0.3 g"
06,06100,0570,しゅんぎく 葉 ゆで,(0),3.7,270,120,5,0.1,"別名： きくな
ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0.2 g"
06,06101,0571,じゅんさい 若葉 水煮びん詰,(0),1.0,2,4,0,0,液汁を除いたもの
06,06102,0572,（しょうが類） 葉しょうが 根茎 生,(0),1.6,310,15,3,0,"別名： 盆しょうが、はじかみ
廃棄部位： 葉及び茎
硝酸イオン： 0.2 g"
06,06103,0573,（しょうが類） しょうが 根茎 皮なし 生,(0),2.1,270,12,2,0,"別名：ひねしょうが
廃棄部位： 皮
硝酸イオン： 0.1 g"
06,06365,0574,（しょうが類） しょうが 根茎 皮なし 生 おろし,(0),7.4,380,39,1,0,"別名：ひねしょうが
全体に対する割合24 %
硝酸イオン： Tr"
06,06366,0575,（しょうが類） しょうが 根茎 皮なし 生 おろし汁,(0),0.3,300,2,1,0,"別名：ひねしょうが
全体に対する割合76 %
硝酸イオン： Tr"
06,06104,0576,（しょうが類） しょうが 漬物 酢漬,(0),2.2,25,22,0,5.6,"別名： 紅しょうが
原材料：ひねしょうが
液汁を除いたもの
硝酸イオン： 0g"
06,06105,0577,（しょうが類） しょうが 漬物 甘酢漬,(0),1.8,13,39,0,2.0,"別名： ガリ
原材料：新しょうが
液汁を除いたもの
硝酸イオン： 0g"
06,06386,0578,（しょうが類） 新しょうが 根茎 生,-,1.9,350,11,2,0,"廃棄部位： 皮及び茎
食物繊維：AOAC2011.25法
硝酸イオン：0.1ｇ"
06,06106,0579,しろうり 果実 生,(0),1.2,220,35,8,0,"別名： あさうり、つけうり
廃棄部位： わた及び両端"
06,06107,0580,しろうり 漬物 塩漬,(0),2.2,220,26,10,2.0,"別名： あさうり、つけうり
廃棄部位： 両端
水洗いし、手搾りしたもの"
06,06108,0581,しろうり 漬物 奈良漬,(0),2.6,97,25,0,4.8,"別名： あさうり、つけうり
硝酸イオン： Tr"
06,06109,0582,ずいき 生ずいき 生,(0),1.6,390,80,5,0,"廃棄部位： 株元及び表皮
硝酸イオン： Tr"
06,06110,0583,ずいき 生ずいき ゆで,(0),2.1,76,95,1,0,"株元及び表皮を除いたもの
ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0 g"
06,06111,0584,ずいき 干しずいき 乾,(0),25.8,10000,1200,0,0,"別名： いもがら
硝酸イオン： 1.4 g"
06,06112,0585,ずいき 干しずいき ゆで,(0),3.1,160,130,0,0,"別名： いもがら
ゆでた後水冷し、手搾りしたもの
硝酸イオン： Tr"
06,06387,0586,すいぜんじな 葉 生,-,4.0,530,140,17,0,"別名： 金時草、式部草
廃棄部位： 葉柄基部 
食物繊維：AOAC2011.25法
硝酸イオン：0.3ｇ"
06,06113,0587,すぐきな 葉 生,(0),4.0,680,150,73,0.1,"別名： かもな
廃棄部位： 葉柄基部
硝酸イオン： 0.2 g"
06,06114,0588,すぐきな 根 生,(0),1.7,310,26,13,0.1,"別名： かもな
廃棄部位： 根端及び葉柄基部
硝酸イオン： 0.2 g"
06,06115,0589,すぐきな すぐき漬,(0),5.2,390,130,35,2.2,水洗いし、手搾りしたもの
06,06116,0590,ズッキーニ 果実 生,(0),1.3,320,24,20,0,"別名： つるなしかぼちゃ
廃棄部位： 両端
硝酸イオン： 0.1 g"
06,06117,0591,せり 茎葉 生,(0),2.5,410,34,20,0,"別名： かわな
廃棄部位： 根及び株元
硝酸イオン： 0 g"
06,06118,0592,せり 茎葉 ゆで,(0),2.8,190,38,10,0,"別名： かわな
根を除いたもの
廃棄部位： 株元
ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0 g"
06,06119,0593,セロリ 葉柄 生,(0),1.5,410,39,7,0.1,"別名： セロリー、セルリー、オランダみつば
廃棄部位： 株元、葉身及び表皮
硝酸イオン： 0.2 g"
06,06120,0594,ぜんまい 生ぜんまい 若芽 生,(0),3.8,340,10,24,0,"廃棄部位： 株元及び裸葉
硝酸イオン： 0 g"
06,06121,0595,ぜんまい 生ぜんまい 若芽 ゆで,(0),3.5,38,19,2,0,"株元及び裸葉を除いたもの
ゆでた後水冷し、水切りしたもの
硝酸イオン： 0 g"
06,06122,0596,ぜんまい 干しぜんまい 干し若芽 乾,(0),34.8,2200,150,0,0.1,硝酸イオン： 0 g
06,06123,0597,ぜんまい 干しぜんまい 干し若芽 ゆで,(0),5.2,19,20,0,0,硝酸イオン： 0 g
06,06124,0598,そらまめ 未熟豆 生,(0),2.6,440,22,23,0,"廃棄部位： 種皮
廃棄率： さや入りの場合 80 %
硝酸イオン： 0 g"
06,06125,0599,そらまめ 未熟豆 ゆで,(0),4.0,390,22,18,0,"廃棄部位： 種皮
廃棄率： さや入りの場合 80 %
硝酸イオン： (0) g"
06,06126,0600,タアサイ 葉 生,(0),1.9,430,120,31,0.1,"別名： ひさごな、ゆきな、タァサイ、ターサイ、ターツァイ、きさらぎな
廃棄部位： 株元
硝酸イオン： 0.7 g"
06,06127,0601,タアサイ 葉 ゆで,(0),2.1,320,110,14,0.1,"別名： ひさごな、ゆきな、タァサイ、ターサイ、ターツァイ、きさらぎな
廃棄部位： 株元
ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0.5 g"
06,06128,0602,（だいこん類） かいわれだいこん 芽ばえ 生,(0),1.9,99,54,47,0,"別名： かいわれ
茎基部約1 cmを除去したもの
硝酸イオン： 0.1 g"
06,06129,0603,（だいこん類） 葉だいこん 葉 生,(0),2.6,340,170,49,0.1,"試料： 水耕栽培品
廃棄部位： 株元及び根
硝酸イオン： 0.4 g"
06,06130,0604,（だいこん類） だいこん 葉 生,(0),4.0,400,260,53,0.1,"廃棄部位： 葉柄基部
硝酸イオン： 0.2 g"
06,06131,0605,（だいこん類） だいこん 葉 ゆで,(0),3.6,180,220,21,0.1,"葉柄基部を除いたもの
ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0.1 g"
06,06132,0606,（だいこん類） だいこん 根 皮つき 生,0,1.4,230,24,12,0,"廃棄部位： 根端及び葉柄基部
硝酸イオン： 0.1 g"
06,06133,0607,（だいこん類） だいこん 根 皮つき ゆで,(0),1.6,210,24,9,0,"根端及び葉柄基部を除いたもの
硝酸イオン： 0.2 g"
06,06134,0608,（だいこん類） だいこん 根 皮なし 生,0,1.3,230,23,11,0,"廃棄部位： 根端、葉柄基部及び皮
硝酸イオン： 0.2 g"
06,06367,0609,（だいこん類） だいこん 根 皮なし 生 おろし,(0),5.1,190,63,7,0.1,"全体に対する割合18 %
硝酸イオン： 0.2 g"
06,06368,0610,（だいこん類） だいこん 根 皮なし 生 おろし汁,(0),0.1,140,14,7,0.1,"全体に対する割合82 %
硝酸イオン： 0.2 g"
06,06369,0611,（だいこん類） だいこん 根 皮なし 生 おろし水洗い,(0),4.7,170,57,6,0.1,"全体に対する割合20 %
硝酸イオン： 0.2 g"
06,06135,0612,（だいこん類） だいこん 根 皮なし ゆで,(0),1.7,210,25,9,0,"根端、葉柄基部及び皮を除いたもの
硝酸イオン： 0.1 g"
06,06136,0613,（だいこん類） 切干しだいこん 乾,(0),21.3,3500,500,28,0.5,硝酸イオン： 2.9 g
06,06334,0614,（だいこん類） 切干しだいこん ゆで,(0),3.7,62,60,0,0,"水もどし後、ゆでた後湯切りしたもの
硝酸イオン： Tr"
06,06335,0615,（だいこん類） 切干しだいこん 油いため,(Tr),5.6,110,91,0,0,"水もどし後、油いため
植物油（なたね油）
調理による脂質の増減：第1章表14参照
硝酸イオン： Tr"
06,06388,0616,（だいこん類） 漬物 いぶりがっこ,-,7.1,350,42,0,3.5,"硝酸イオン：0.2ｇ
食物繊維：AOAC2011.25法"
06,06137,0617,（だいこん類） 漬物 ぬかみそ漬,(0),1.8,480,44,15,3.8,"根、皮つき
水洗いし、水切りしたもの"
06,06138,0618,（だいこん類） 漬物 たくあん漬 塩押しだいこん漬,(0),2.3,56,16,40,3.3,"別名： 新漬たくあん、早漬たくあん
ビタミンC： 酸化防止用として添加
硝酸イオン： Tr"
06,06139,0619,（だいこん類） 漬物 たくあん漬 干しだいこん漬,(0),3.7,500,76,12,2.5,"別名： 本たくあん
硝酸イオン： Tr"
06,06140,0620,（だいこん類） 漬物 守口漬,(0),3.3,100,26,0,3.6,
06,06141,0621,（だいこん類） 漬物 べったら漬,(0),1.6,190,15,49,2.8,"ビタミンC： 酸化防止用として添加
硝酸イオン：0.1 g"
06,06142,0622,（だいこん類） 漬物 みそ漬,0,2.1,80,18,0,7.2,硝酸イオン：Tr
06,06143,0623,（だいこん類） 漬物 福神漬,(0),3.9,100,36,0,5.1,"原材料： だいこん、なす、なたまめ、れんこん、しょうが等
市販品の調味液を除去したもの"
06,06144,0624,（たいさい類） つまみな 葉 生,(0),2.3,450,210,47,0.1,"試料： 若採りせっぱくたいさい（雪白体菜）
硝酸イオン： 0.3 g"
06,06145,0625,（たいさい類） たいさい 葉 生,(0),1.6,340,79,45,0.1,"別名： しゃくしな
硝酸イオン： 0.6 g"
06,06146,0626,（たいさい類） たいさい 塩漬,(0),2.5,330,78,41,1.8,"別名： しゃくしな
水洗いし、手搾りしたもの"
06,06147,0627,たかな 葉 生,(0),2.5,300,87,69,0.1,"廃棄部位： 株元
硝酸イオン： 0.2 g"
06,06148,0628,たかな たかな漬,(0),4.0,110,51,Tr,4.0,硝酸イオン：Tr
06,06149,0629,たけのこ 若茎 生,(0),2.8,520,16,10,0,"廃棄部位： 竹皮及び基部
廃棄率： はちく、まだけ等の小型の場合 60 %
硝酸イオン： Tr"
06,06150,0630,たけのこ 若茎 ゆで,0,3.3,470,17,8,0,"竹皮及び基部を除いたもの
硝酸イオン： (Tr)"
06,06151,0631,たけのこ 水煮缶詰,(0),2.3,77,19,0,0,"液汁を除いたもの
硝酸イオン： 0 g"
06,06152,0632,たけのこ めんま 塩蔵 塩抜き,(0),3.5,6,18,0,0.9,"別名： しなちく
硝酸イオン： (Tr)"
06,06153,0633,（たまねぎ類） たまねぎ りん茎 生,1,1.5,150,17,7,0,"廃棄部位： 皮（保護葉）、底盤部及び頭部
硝酸イオン：0ｇ"
06,06154,0634,（たまねぎ類） たまねぎ りん茎 水さらし,(0),1.5,88,18,5,0,"皮（保護葉）、底盤部及び頭部を除いたもの
硝酸イオン： Tr"
06,06155,0635,（たまねぎ類） たまねぎ りん茎 ゆで,(0),1.7,110,18,5,0,"皮（保護葉）、底盤部及び頭部を除いたもの
硝酸イオン： Tr"
06,06336,0636,（たまねぎ類） たまねぎ りん茎 油いため,(Tr),2.7,210,24,9,0,"皮（保護葉）、底盤部及び頭部を除いたもの
植物油（なたね油）
調理による脂質の増減：第1章表14参照
硝酸イオン： Tr"
06,06389,0637,（たまねぎ類） たまねぎ りん茎 油いため （あめ色たまねぎ）,-,-,490,47,0,0,"皮（保護葉）、底盤部及び頭部を除いたもの
植物油（なたね油）
調理による脂質の増減：第1章表14参照
硝酸イオン：0ｇ"
06,06156,0638,（たまねぎ類） 赤たまねぎ りん茎 生,(0),1.7,150,19,7,0,"別名： レッドオニオン、紫たまねぎ
廃棄部位： 皮（保護葉）、底盤部及び頭部
硝酸イオン： Tr"
06,06337,0639,（たまねぎ類） 葉たまねぎ りん茎及び葉 生,(0),3.0,290,67,32,0,"廃棄部位： 底盤部
硝酸イオン： 0 g"
06,06157,0640,たらのめ 若芽 生,(0),4.2,460,16,7,0,"廃棄部位： 木質部及びりん片
硝酸イオン： 0 g"
06,06158,0641,たらのめ 若芽 ゆで,(0),3.6,260,19,3,0,"木質部及びりん片を除いたもの
ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0 g"
06,06159,0642,チコリ 若芽 生,(0),1.1,170,24,2,0,"別名： きくにがな、アンディーブ、チコリー
廃棄部位： 株元及びしん
硝酸イオン： Tr"
06,06376,0643,ちぢみゆきな 葉 生,(0),3.9,570,180,69,0,"廃棄部位： 株元
硝酸イオン： 0.2 g"
06,06377,0644,ちぢみゆきな 葉 ゆで,(0),4.3,320,130,39,0,"廃棄部位： 株元
ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0.2 g"
06,06160,0645,チンゲンサイ 葉 生,(0),1.2,260,100,24,0.1,"廃棄部位： しん
硝酸イオン： 0.5 g"
06,06161,0646,チンゲンサイ 葉 ゆで,(0),1.5,250,120,15,0.1,"廃棄部位： しん
ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0.5 g"
06,06338,0647,チンゲンサイ 葉 油いため,0,1.4,230,92,21,0.1,"しんを除いたもの
植物油（なたね油）
調理による脂質の増減：第1章表14参照
硝酸イオン： 0.5 g"
06,06162,0648,つくし 胞子茎 生,(0),8.1,640,50,33,0,廃棄部位： 基部及びはかま（葉鞘）
06,06163,0649,つくし 胞子茎 ゆで,(0),6.7,340,58,15,0,"基部及びはかま（葉鞘）を除いたもの
ゆでた後水冷し、手搾りしたもの"
06,06164,0650,つるな 茎葉 生,(0),2.3,300,48,22,0,"別名： はまぢしゃ
硝酸イオン： 0.2 g"
06,06390,0651,つるにんじん 根 生,-,17.1,190,61,6,0,"硝酸イオン： 0 g
食物繊維：AOAC2011.25法"
06,06165,0652,つるむらさき 茎葉 生,(0),2.2,210,150,41,0,硝酸イオン： 0.3 g
06,06166,0653,つるむらさき 茎葉 ゆで,(0),3.1,150,180,18,0,"ゆでた後水冷し、手搾りしたもの
硝酸イオン： 0.3 g"
06,06167,0654,つわぶき 葉柄 生,(0),2.5,410,38,4,0.3,"表皮を除いたもの
硝酸イオン： Tr"
06,06168,0655,つわぶき 葉柄 ゆで,(0),2.3,160,31,0,0.1,"ゆでた後水冷し、水切りしたもの
硝酸イオン： Tr"
06,06169,0656,とうがらし 葉･果実 生,(0),5.7,650,490,92,0,"別名： なんばん、葉とうがらし
試料： 辛味種 
廃棄部位： 硬い茎及びへた
重量比： 葉6、実4
硝酸イオン： 0.4 g"
06,06170,0657,とうがらし 葉･果実 油いため,(0),6.3,690,550,56,0,"別名： なんばん、葉とうがらし
試料： 辛味種 
硬い茎及びへたを除いたもの
植物油（調合油）
調理による脂質の増減：第1章表14参照
硝酸イオン： 0.5 g"
06,06171,0658,とうがらし 果実 生,(0),10.3,760,20,120,0,"別名： なんばん
試料： 辛味種 
廃棄部位： へた"
06,06172,0659,とうがらし 果実 乾,(0),46.4,2800,74,1,0,"別名： なんばん、赤とうがらし、たかのつめ
試料： 辛味種 
へたを除いたもの
廃棄率： へたつきの場合 10%"
06,06173,0660,とうがん 果実 生,(0),1.3,200,19,39,0,"別名： かもうり
廃棄部位： 果皮、わた及びへた"
06,06174,0661,とうがん 果実 ゆで,(0),1.5,200,22,27,0,"別名： かもうり
果皮、わた及びへたを除いたもの"
06,06175,0662,（とうもろこし類） スイートコーン 未熟種子 生,0,3.0,290,3,8,0,"廃棄部位： 包葉、めしべ及び穂軸
硝酸イオン： 0 g"
06,06176,0663,（とうもろこし類） スイートコーン 未熟種子 ゆで,(0),3.1,290,5,6,0,"包葉及びめしべを除いたもの
廃棄部位： 穂軸
硝酸イオン： 0 g"
06,06339,0664,（とうもろこし類） スイートコーン 未熟種子 電子レンジ調理,(0),3.4,330,3,6,0,"廃棄部位： 穂軸
硝酸イオン： 0 g"
06,06177,0665,（とうもろこし類） スイートコーン 未熟種子 穂軸つき 冷凍,(0),2.8,230,4,6,0,"廃棄部位： 穂軸
硝酸イオン： 0 g"
06,06178,0666,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍,(0),4.8,230,3,4,0,"穂軸を除いた実（尖帽を除いた種子）のみ
硝酸イオン： 0 g
食物繊維：AOAC2011.25法"
06,06378,0667,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍 ゆで,(0),6.2,200,3,2,0,"穂軸を除いた実（尖帽を除いた種子）のみ
硝酸イオン： 0 g
食物繊維：AOAC2011.25法"
06,06379,0668,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍 油いため,Tr,4.7,230,3,3,0,"穂軸を除いた実（尖帽を除いた種子）のみ
植物油（なたね油）
調理による脂質の増減：第1章表14参照
硝酸イオン： 0 g
食物繊維：AOAC2011.25法"
06,06179,0669,（とうもろこし類） スイートコーン 缶詰 クリームスタイル,(0),1.8,150,2,3,0.7,硝酸イオン： (0) g
06,06180,0670,（とうもろこし類） スイートコーン 缶詰 ホールカーネルスタイル,(0),3.3,130,2,2,0.5,"液汁を除いたもの
硝酸イオン： (0) g"
06,06181,0671,（とうもろこし類） ヤングコーン 幼雌穂 生,(0),2.7,230,19,9,0,"別名： ベビーコーン、ミニコーン
穂軸基部を除いたもの
廃棄率： 穂軸基部つきの場合10%
硝酸イオン： 0 g"
06,06182,0672,（トマト類） 赤色トマト 果実 生,0,1.0,210,7,15,0,"廃棄部位： へた
硝酸イオン： 0 g"
06,06183,0673,（トマト類） 赤色ミニトマト 果実 生,(0),1.4,290,12,32,0,"別名： プチトマト、チェリートマト
廃棄部位： へた
硝酸イオン： 0 g
"
